,MODIFIED_ZCTA,NEIGHBORHOOD_NAME,COVID_CASE_RATE_4WEEK,PCT_CHANGE_2WEEK,TESTING_RATE_4WEEK,PERCENT_POSITIVE_4WEEK,RISK
43,10282,Battery Park City,0.0,0.0,0.3512584968814049,0.0,0
44,10301,Silver Lake/St. George,0.20160209642357285,0.0611111111111111,0.31703331445378397,0.18315789473684213,0
45,10302,Elm Park,0.1839433012715524,0.2222222222222222,0.2160855495119795,0.20421052631578945,0
46,10303,Graniteville/Mariner's Harbor/Port Ivory,0.09359459218010185,0.033333333333333326,0.17518169036440417,0.12000000000000002,0
47,10304,New Dorp/Todt Hill,0.26169560167952116,0.1522222222222222,0.2880738783075712,0.24842105263157893,0
48,10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,0.20487775825615678,0.16333333333333333,0.184040911665393,0.24210526315789477,0
49,10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,0.2843572258122153,0.19666666666666666,0.3033871299297524,0.2631578947368421,0
50,10307,Tottenville,0.18087609064649654,0.3333333333333333,0.13254397735147966,0.24210526315789477,0
51,10308,Great Kills,0.23742592537446772,0.2922222222222222,0.1655444465935712,0.28842105263157897,0
52,10309,Charleston/Prince's Bay/Woodrow,0.3429915726154671,0.16,0.19049580934719829,0.38947368421052625,2
53,10310,Port Richmond/Randall Manor/West Brighton,0.42005896191298653,0.1111111111111111,0.2626341915288359,0.4147368421052631,2
54,10312,Annadale/Rossville,0.29168279681963016,0.18777777777777777,0.20171598623672177,0.3263157894736842,0
55,10314,Bloomfield/Freshkills Park,0.2968047407760341,0.11333333333333333,0.30939880633832445,0.27157894736842103,0
56,10451,Concourse/Melrose,0.22060093505255945,0.21444444444444444,0.2338569011113491,0.23368421052631583,0
57,10452,Concourse/Highbridge,0.34802418034007326,0.13444444444444445,0.1890126226990007,0.3957894736842105,2
58,10453,Morris Heights/Mount Hope/University Heights,0.23578809445817578,0.09333333333333332,0.15031879839330115,0.29684210526315785,0
59,10454,Mott Haven/Port Morris,0.14856615347964622,0.1111111111111111,0.17037564520787601,0.18526315789473685,0
60,10455,Mott Haven,0.15076978053065723,0.05888888888888888,0.1543390148344685,0.19368421052631576,0
61,10456,Claremont/Morrisania,0.19776063845626995,0.10777777777777778,0.19378917759468756,0.22947368421052633,0
62,10457,Belmont/Claremont/Mount Hope/Tremont,0.19323426937851762,0.07555555555555554,0.16389906351074618,0.24,0
63,10458,Belmont/Fordham University/Kingsbridge,0.18051874571930557,0.12555555555555556,0.18492648685124674,0.21473684210526317,0
64,10459,Charlotte Gardens/Hunts Point,0.32166999195973917,0.13999999999999999,0.2905259067604688,0.30315789473684207,0
65,10460,Charlotte Gardens/Tremont/Van Nest/West Farms,0.17900002977874394,0.08222222222222222,0.14499667367204921,0.23157894736842105,0
66,10461,Morris Park/Pelham Bay/Westchester Square,0.271016348530419,0.05999999999999999,0.27872199617840915,0.2631578947368421,0
67,10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,0.2348053959084006,0.10777777777777778,0.2174924084262348,0.25684210526315787,0
68,10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,0.21336470027694232,0.07555555555555554,0.40798821777343314,0.16421052631578947,0
70,10465,Country Club/Throgs Neck,0.1605372085405438,0.07999999999999999,0.29332141001610684,0.15368421052631578,0
71,10466,Edenwald/Wakefield,0.15231827521515143,0.15333333333333332,0.16297012029424346,0.19157894736842102,0
72,10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,0.19123909353503468,0.10888888888888888,0.31624922045964904,0.17263157894736844,0
73,10468,Fordham/Kingsbridge/University Heights,0.2683362615764867,0.09333333333333332,0.2120540573828434,0.2947368421052632,0
74,10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,0.11259343080908846,0.13555555555555554,0.4099588610861263,0.08421052631578949,1
75,10470,Wakefield/Woodlawn,0.347190375509961,0.06444444444444444,0.2684732631754246,0.3410526315789474,0
76,10471,Fieldston/North Riverdale/Riverdale,0.2543402519281737,0.06333333333333332,0.5874095668140891,0.15157894736842104,1
77,10472,Soundview,0.18278193025818174,0.1388888888888889,0.1950338400743155,0.2126315789473684,0
78,10473,Castle Hill/Clason Point/Soundview,0.1672076471814419,0.1211111111111111,0.18485709800220834,0.19999999999999998,0
79,10474,Hunts Point,0.08966379798100116,0.5555555555555556,0.10607473352513569,0.13894736842105262,0
80,10475,Co-op City/Edenwald,0.16384264911706026,0.1433333333333333,0.30139220051989596,0.15368421052631578,0
81,11004,Bellerose/Douglaston-Little Neck,0.26351210505940864,0.20666666666666667,0.5772232837752391,0.16,1
82,11101,Astoria (South)/Long Island City/Sunnyside,0.2082427563205384,0.05333333333333333,0.6023316387998157,0.12000000000000002,1
83,11102,Astoria (North),0.19240046454840534,0.1611111111111111,0.39407575354121643,0.15157894736842104,0
84,11103,Astoria (North)/Astoria (South),0.2797415205026652,0.17333333333333334,0.3433342903212096,0.24210526315789477,0
85,11104,Sunnyside,0.13832226556683838,0.049999999999999996,0.3576049744865875,0.11578947368421053,0
86,11105,Ditmars Steinway,0.21979690896637982,0.07222222222222222,0.2895952288227401,0.20842105263157895,0
87,11106,Astoria (South),0.13084780083976058,0.18555555555555553,0.2840337125723053,0.12842105263157894,0
89,11201,Brooklyn Heights/DUMBO/Downtown Brooklyn,0.10246865787201095,0.12555555555555556,0.7053124970184477,0.042105263157894736,1
90,11203,East Flatbush (North)/East Flatbush (South),0.132664304219648,0.0711111111111111,0.20788465491624336,0.15157894736842104,0
91,11204,Bensonhurst/Mapleton,0.41151246240433575,0.11444444444444443,0.029505005971777798,0.6736842105263158,2
